# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R	O
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics	User defined
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count	seq_samp_id
EX2301_D04_04W	Fish-12S-MiFish-Miya		D04-04-12S_S21_L001	OKEX2301_ROV-D2							D04-04-12S_S21_L001_R1_001.fastq.gz	D04-04-12S_S21_L001_R2_001.fastq.gz					
EX2301_D04_04W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_04W_18S	OKEX2301_ROV-D2							EX2301_D04_04W_18S_R1.fastq.gz	EX2301_D04_04W_18S_R2.fastq.gz					
EX2301_D04_03W	Metazoa-COI-Leray-Geller		D04-03_S20_L001	OKEX2301_ROV-D2							D04-03_S20_L001_R1_001.fastq.gz	D04-03_S20_L001_R2_001.fastq.gz					
EX2301_D04_03W	Fish-12S-MiFish-Miya		D04-03-12S_S20_L001	OKEX2301_ROV-D2							D04-03-12S_S20_L001_R1_001.fastq.gz	D04-03-12S_S20_L001_R2_001.fastq.gz					
EX2301_D04_03W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_03W_18S	OKEX2301_ROV-D2							EX2301_D04_03W_18S_R1.fastq.gz	EX2301_D04_03W_18S_R2.fastq.gz					
EX2301_D04_02W	Metazoa-COI-Leray-Geller		D04-02_S19_L001	OKEX2301_ROV-D2							D04-02_S19_L001_R1_001.fastq.gz	D04-02_S19_L001_R2_001.fastq.gz					
EX2301_D04_02W	Fish-12S-MiFish-Miya		D04-02-12S_S19_L001	OKEX2301_ROV-D2							D04-02-12S_S19_L001_R1_001.fastq.gz	D04-02-12S_S19_L001_R2_001.fastq.gz					
EX2301_D04_02W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_02W_18S	OKEX2301_ROV-D2							EX2301_D04_02W_18S_R1.fastq.gz	EX2301_D04_02W_18S_R2.fastq.gz					
EX2301_D03_BLW	Metazoa-COI-Leray-Geller		D03-BLK_S18_L001	OKEX2301_ROV-D2							D03-BLK_S18_L001_R1_001.fastq.gz	D03-BLK_S18_L001_R2_001.fastq.gz					
EX2301_D03_BLW	Fish-12S-MiFish-Miya		D03-BLK-12S_S18_L001	OKEX2301_ROV-D2							D03-BLK-12S_S18_L001_R1_001.fastq.gz	D03-BLK-12S_S18_L001_R2_001.fastq.gz					
EX2301_D03_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_BLW_18S	OKEX2301_ROV-D2							EX2301_D03_BLW_18S_R1.fastq.gz	EX2301_D03_BLW_18S_R2.fastq.gz					
EX2301_D03_06W	Metazoa-COI-Leray-Geller		D03-06_S13_L001	OKEX2301_ROV-D2							D03-06_S13_L001_R1_001.fastq.gz	D03-06_S13_L001_R2_001.fastq.gz					
EX2301_D03_06W	Fish-12S-MiFish-Miya		D03-06-12S_S13_L001	OKEX2301_ROV-D2							D03-06-12S_S13_L001_R1_001.fastq.gz	D03-06-12S_S13_L001_R2_001.fastq.gz					
EX2301_D03_06W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_06W_18S	OKEX2301_ROV-D2							EX2301_D03_06W_18S_R1.fastq.gz	EX2301_D03_06W_18S_R2.fastq.gz					
EX2301_D03_05W	Metazoa-COI-Leray-Geller		D03-05_S17_L001	OKEX2301_ROV-D2							D03-05_S17_L001_R1_001.fastq.gz	D03-05_S17_L001_R2_001.fastq.gz					
EX2301_D03_05W	Fish-12S-MiFish-Miya		D03-05-12S_S17_L001	OKEX2301_ROV-D2							D03-05-12S_S17_L001_R1_001.fastq.gz	D03-05-12S_S17_L001_R2_001.fastq.gz					
EX2301_D03_05W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_05W_18S	OKEX2301_ROV-D2							EX2301_D03_05W_18S_R1.fastq.gz	EX2301_D03_05W_18S_R2.fastq.gz					
EX2301_D03_04W	Metazoa-COI-Leray-Geller		D03-04_S16_L001	OKEX2301_ROV-D2							D03-04_S16_L001_R1_001.fastq.gz	D03-04_S16_L001_R2_001.fastq.gz					
EX2301_D03_04W	Fish-12S-MiFish-Miya		D03-04-12S_S16_L001	OKEX2301_ROV-D2							D03-04-12S_S16_L001_R1_001.fastq.gz	D03-04-12S_S16_L001_R2_001.fastq.gz					
EX2301_D03_04W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_04W_18S	OKEX2301_ROV-D2							EX2301_D03_04W_18S_R1.fastq.gz	EX2301_D03_04W_18S_R2.fastq.gz					
EX2301_D03_03W	Metazoa-COI-Leray-Geller		D03-03_S15_L001	OKEX2301_ROV-D2							D03-03_S15_L001_R1_001.fastq.gz	D03-03_S15_L001_R2_001.fastq.gz					
EX2301_D03_03W	Fish-12S-MiFish-Miya		D03-03-12S_S15_L001	OKEX2301_ROV-D2							D03-03-12S_S15_L001_R1_001.fastq.gz	D03-03-12S_S15_L001_R2_001.fastq.gz					
EX2301_D03_03W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_03W_18S	OKEX2301_ROV-D2							EX2301_D03_03W_18S_R1.fastq.gz	EX2301_D03_03W_18S_R2.fastq.gz					
EX2301_D03_02W	Metazoa-COI-Leray-Geller		D03-02_S14_L001	OKEX2301_ROV-D2							D03-02_S14_L001_R1_001.fastq.gz	D03-02_S14_L001_R2_001.fastq.gz					
EX2301_D03_02W	Fish-12S-MiFish-Miya		D03-02-12S_S14_L001	OKEX2301_ROV-D2							D03-02-12S_S14_L001_R1_001.fastq.gz	D03-02-12S_S14_L001_R2_001.fastq.gz					
EX2301_D03_02W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D03_02W_18S	OKEX2301_ROV-D2							EX2301_D03_02W_18S_R1.fastq.gz	EX2301_D03_02W_18S_R2.fastq.gz					
EX2301_D02_BLW	Metazoa-COI-Leray-Geller		D02-BLK_S12_L001	OKEX2301_ROV-D2							D02-BLK_S12_L001_R1_001.fastq.gz	D02-BLK_S12_L001_R2_001.fastq.gz					
EX2301_D02_BLW	Fish-12S-MiFish-Miya		D02-BLK-12S_S12_L001	OKEX2301_ROV-D2							D02-BLK-12S_S12_L001_R1_001.fastq.gz	D02-BLK-12S_S12_L001_R2_001.fastq.gz					
EX2301_D02_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D02_BLW_18S	OKEX2301_ROV-D2							EX2301_D02_BLW_18S_R1.fastq.gz	EX2301_D02_BLW_18S_R2.fastq.gz					
EX2301_D02_05W	Metazoa-COI-Leray-Geller		D02-05_S11_L001	OKEX2301_ROV-D2							D02-05_S11_L001_R1_001.fastq.gz	D02-05_S11_L001_R2_001.fastq.gz					
EX2301_D02_05W	Fish-12S-MiFish-Miya		D02-05-12S_S11_L001	OKEX2301_ROV-D2							D02-05-12S_S11_L001_R1_001.fastq.gz	D02-05-12S_S11_L001_R2_001.fastq.gz					
EX2301_D02_05W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D02_05W_18S	OKEX2301_ROV-D2							EX2301_D02_05W_18S_R1.fastq.gz	EX2301_D02_05W_18S_R2.fastq.gz					
EX2301_D02_04W	Metazoa-COI-Leray-Geller		D02-04_S10_L001	OKEX2301_ROV-D2							D02-04_S10_L001_R1_001.fastq.gz	D02-04_S10_L001_R2_001.fastq.gz					
