featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
7426e8c87e1cd957fc55ffed4bdc86c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3050	0	0	641	0	0
e96de42c086d6324a58fd41062bc7f6f	0	0	0	0	0	0	0	3179	64	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0
65c0001b3454bb3ba9bb385585fee223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3490	0	0	0	0
ee51445f1a69d796079f9a10b5cd9012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3336	0	0	0	0	0	0	0
9a7d63d07dfcb249ae41bee4b2f4624d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3324	0	0	0	0	0
aa494792d8f5c457cfe9b4fe897a7bba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3149	0	0	0	0	0	0	0	0	0
5c18950cb35c3bcb96e31ee783fe5910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2964	0	0	0	0	0	0	0
98a7c6e0eae9782c629256bdd858e07c	0	0	0	0	0	0	0	0	0	0	0	0	0	1398	0	0	0	0	0	0	0	0	635	0	729	0	0	0	0
6a298fd7730636f962caf32eecb94ad1	0	0	0	0	0	0	0	0	6	2602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56b3ed391f9fb44383aae38aafcd15f1	0	0	0	0	0	0	0	0	28	0	0	0	2548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8b1a829c793933df444a6b96d1f4d99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2449	0	0	0	0	0
d414c4b8a602e116586ee2fb474b1893	0	0	0	0	0	0	0	0	7	0	0	0	0	2401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6bde92844087e03943113ee433497f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2257	0	0	0	0	0	0
09209c6d6a6624cb9ca0e5d2c1295057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2073	0	0	0	0	0	0	0	0	0	0	0	0
9a1d4f0309939d977e70cc87e9748db8	0	0	0	0	0	0	0	1728	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16d6539c8cbb0437152524b4509bc0b6	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	216	0	0	677	0	413	0	0	0	0	0	0	0
9454ed4d09b0cb7d9c42a4b12946cb07	0	0	0	0	0	0	0	0	0	0	0	0	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5faa42954d52266eba659419fbbc1ebe	0	0	0	0	0	0	0	0	0	0	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e1d1b35895fef7aabeafc4aaa5b1922d	0	0	0	0	0	0	0	0	4	0	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9eff3db88a5c709172c6fa45fba36471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0
53f570d143fdb7ab6b49c53628755671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0
7c2f5f9f50198bb7043cdcf5cfc08a53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	0	0	0	0	0	0
0eac5139f4db81c62bd3bbd6d85b06c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0	0	0	0	0	0	0	0
6c18356551ab16b6d523dbdc25d87aea	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ed363b2365af801f4804a92fd826368	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a6fae638d3795eda00674f2da117fb20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	0	0	0	0	0
ddd44d1e32d6c9c989a8eebc2d45421b	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
397f53255d7d9b114b99c5e77d7a1a99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0
a97278b78f6ec253856dd778efddf6c9	0	0	0	0	0	0	0	68	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aabcf1b68a268f4686b4dd059c8fce9d	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	0	0	0	0
5d44bac88d68813a2a6a24f42025ed76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac00ced4a8d902fb2ca1eb7ffde49192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0
780ced17adc5293ea9fec20189094d54	0	0	0	0	0	0	0	0	5	0	0	0	260	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0
1511e5fcf9d3c0dce5e63c1719df1690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0
efa5be66c62ceab1a517fbfffbb1290b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0
9ea103c113cf3d2150e4dba15a21ff6e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0
e389fd20a279b16f34050433fe25cf4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0
4cc2b8ec18aaa252fda5474edeae3123	0	0	0	0	3	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
624e0d098dea5cc6e8e1a152ea69998a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
9cfba6fcef47dcdc8d0cd6a62c505eaf	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a193f7029a33b9c5987ea89fb233370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0
47b5d87febc3290a387bd98cf98659bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0
7228fd0480d1deda517899cbf9aab434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	47	0
e8c707e44ff4d0b6e73bdc6a18975b53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
52b2243e4f59a32c1f37be8b37e2f016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
8feb7121572a4604eeaf26cb1d8c859f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
6881f8edcb2a7e2840e63d399b9b10c5	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165b33e6cb789d149f1aac69496b2941	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
fcb39f6fbac79b96e25057638475b9f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a3e0744d969fe55c777b5a07c801c2a2	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
802a8e71e181131791ff25434f456315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
41b41b6d5046f4ac1b2356c5167ed865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
e6a3865de271bb1ce577d0499171ac76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
bee3a92867fa4440bd5a3cfc92b8f390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
039a2b4224fc7348598279796f51a5e0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abc12d6cd12a574f2183f003593d3940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
701e88aa7b7de36d35b9d326b004861c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
