featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
33e95fb046ad2a2dda0aac37908d2b26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0
3502ccef24c847e21f01940254fd6e29	0	0	0	0	0	0	0	0	0	0	0	0	0	2134	0	0	0	0	0	0	0	0	0	6226	0	84	0	0	0
36376b39b80e40fac4e2f615362bd7c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	0	0
3b6cd5378a0dcaefbbdf70f0408619c5	0	0	0	0	0	0	0	0	22272	0	2667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ba385dabb40e37be2c8c793f0cbedc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	0
3c64823f9fe1b8e3dee560e7bb3b193c	0	0	0	0	0	0	0	3	0	0	0	0	0	41727	0	8280	6	0	6439	1547	0	2176	517	3	0	0	3902	0	0
3d05579d16c65c935c17adb6b4f84b4e	0	0	0	0	0	0	0	0	0	0	1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408da5f0428345c0aeda2f95a69f2103	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
475e0e642a0343085715a6c07ff5824e	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b901b8f53750cf25d659e5832ac6da2	0	0	0	0	0	0	0	0	92	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f8080714330380f6e967a640b8a712c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4103	0	0	0	0	0	0	0	0	0	0	0
505d60d0ca4762141d45f294909b973c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
534e20c917378ae809aeb4dcf84ba834	0	0	0	0	0	0	0	0	6735	0	0	0	16625	0	0	0	0	0	0	0	806	0	556	0	3748	0	0	0	0
5394636d91cc975a4947ce4436461537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0
54f87c4216a0a7440e0c990314474269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	0	0	0	0	28	0	0	0	0	0	0
562b4c8b5fc7ae831544d3588c15bbb0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
568a103ab7c361e601742503b0c784b0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ec286d8cf865101ddfd53dba8da1315	0	0	0	0	0	0	0	0	0	0	0	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
601d2d52cd27ee87bda8502b450e0be9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0
62131db008a1791277e2808215ecafee	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6221ea576c3e018de52d8e420b6bc921	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63ef42067029a6fda75dec7b9ffb5663	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66486a96ada2bc8ff0229380ee3f94ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67a049f738a4cfcecc13cde773c3d6a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4967	4182	0	0	0	0	0	0	4	6	0	0	0	0	0
67adc25f0cbe8d0a25a4b716b2a40954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0
69b00ffe3b02e7888a3743906f4e657a	0	0	0	0	0	0	0	0	0	0	4531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69e530ec09bc172e406de1b08f694bd2	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6acca2d2e326e49a999997b2dadc42f9	0	0	0	0	0	0	0	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b9e15d61007c87345224c5fd830cbd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	0
712ee4df3238890180e58e8098b3f0fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
71f9652fbee527583622440c763be299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	0	0	0	0	0	0	0	0	0	0	0
72b720dedb2422bfcf7b5ffdf843b452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
74ff499efd035a8a1ffa91180617e614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0
7735a966b1a06fbd94a4ddc3741a0544	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
781e1d0cf581569ca761dfb81438b698	0	0	0	6	0	0	0	4276	0	0	0	0	0	0	0	3920	0	0	0	0	0	0	0	0	0	0	0	0	0
7820a79d1971219a2dcd1349e8096468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0	0	0	0
78e23f1c39be4467f30f5f364360699c	0	0	0	0	0	0	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7949936eb7c1db330adfcf2f3332d142	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	18	0	0	0	0	0	0	3	0	0	0	0	0
7ab0d148efada6a8fc0562ddf11e100f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
7b0bd023ed4a4dbbf8878509b5389655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7ba4999b6ea75f33389d89c0b7a7da4f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0
7bec454754385c3407185dd45e204b39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4067	0
7c0c25fceeb3a37646d74c9db54ec7c9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1979	0	0	0	0	0	0	0	0	0	0	0	0
7cb4b6694103cdd14e30a353f3fd36b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4673	0	0	0	0	0	0	0	4	0	0	0
7cd92288a34ab57abf2628deacbfbb21	0	0	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7dd7b2fcbd15409ecd357fcd72bf0d26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	0	0	0	0	0
7ee3f4b2647dac40317b371f44543679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1752	0	0	0	0	0	0	0	0	0	0	0	3620	0
7f33c23b1e34240e66bf346182bee281	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
809c3704639d4d2fe0d86da5cdfdd504	0	0	0	0	0	0	0	0	0	0	0	0	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80d1d25796024905f72e0c0a1dd1f1e0	0	0	0	0	0	0	0	0	0	2120	0	5873	0	0	0	0	8792	0	0	29	0	0	0	0	0	0	0	0	0
82b9e863319e3aaee8e524e807f0e38a	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
847442c40103c9e29c4276e457a1cf3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86df832062eac506168f10019d968492	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
